	Smooth	Copper	Glass	Leather	Rubber	Steel	Iron	Wood	Stone	Plastic	Nylon	Rough
Smooth	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Copper	0.00	0.2	0.70	0.20	0.25	0.19	0.29	0.40	0.10	0.35	0.20	Inf
Glass	0.00	0.70	1.00	0.30	0.25	0.10	0.10	0.25	0.10	0.15	0.08	Inf
Leather	0.00	0.20	0.30	0.20	0.30	0.14	0.15	0.05	0.30	0.20	0.10	Inf
Rubber	0.00	0.25	0.25	0.30	0.70	0.75	0.50	0.40	0.30	0.60	0.30	Inf
Steel	0.00	0.19	0.10	0.14	0.75	0.15	0.23	0.40	0.10	0.20	0.02	Inf
Iron	0.00	0.29	0.10	0.15	0.50	0.23	1.00	0.40	0.15	0.25	0.15	Inf
Wood	0.00	0.40	0.25	0.05	0.40	0.40	0.40	0.30	0.20	0.30	0.15	Inf
Stone	0.00	0.10	0.10	0.30	0.30	0.10	0.15	0.20	0.10	1.00	0.10	Inf
Plastic	0.00	0.35	0.15	0.20	0.60	0.20	0.25	0.30	1.00	0.30	0.50	Inf
Nylon	0.00	0.20	0.08	0.10	0.30	0.02	0.15	0.15	0.10	0.50	0.20	Inf
Rough	0.00	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
